,Team,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U
0,MIA,Puk (L),9,0-3,5.91,2.44,0-3,10.00,5.91,2.44,8,1,1-2,L1,U1
1,CHC,Taillon (R),999,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,3-1,W1,U1
2,MIL,Peralta (R),6,2-0,2.55,0.68,2-0,17.00,2.55,0.68,26,2,3-1,W1,U1
3,STL,Gibson (R),5,1-2,6.16,1.21,1-2,19.00,6.16,1.21,11,5,1-1,L1,O1
4,NYM,Manaea (L),5,1-1,4.30,1.36,1-1,14.00,4.30,1.36,18,1,2-1,W4,O1
5,LAD,Yamamoto (R),6,1-1,4.50,1.06,1-0,15.00,1.80,0.80,19,2,6-3,L1,U2
6,AZ,Montgomery (L),999,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,1-4,L2,U2
7,SF,Snell (L),4,0-2,12.86,1.86,0-2,7.00,12.86,1.86,9,2,1-3,W2,U2
8,TB,Alexander (L),4,1-0,6.46,1.63,0-0,4.00,8.31,2.31,4,2,2-1,W1,U1
9,NYY,Schmidt (R),5,1-0,3.68,1.64,1-0,14.00,3.68,1.64,16,1,3-1,W1,O2
10,OAK,Boyle (R),5,1-2,5.68,1.82,1-2,12.00,5.68,1.82,15,0,1-1,W1,O1
11,CLE,McKenzie (R),5,1-2,6.23,1.77,1-2,13.00,6.23,1.77,5,2,2-2,W1,O1
12,BAL,Kremer (R),5,0-1,4.96,1.22,0-1,16.00,4.96,1.22,14,4,2-0,W4,U1
13,KC,Marsh (R),5,2-0,4.32,1.08,2-0,16.00,4.32,1.08,10,1,5-0,L1,U4
14,DET,Flaherty (R),4,0-1,4.91,1.20,0-1,18.00,4.91,1.20,20,3,1-1,L2,O2
15,MIN,Ryan (R),5,0-1,2.60,0.92,0-1,17.00,2.60,0.92,24,2,0-2,L4,U1
16,BOS,Bello (R),4,2-1,3.92,1.21,1-1,15.00,4.02,1.28,17,3,4-3,L1,O1
17,PIT,,0,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,1-0,L3,O1
18,CHW,Crochet (L),5,1-2,3.57,0.84,1-1,16.00,4.32,0.84,23,2,1-5,W1,U3
19,PHI,Turnbull (R),5,1-0,1.80,0.93,1-0,15.00,1.80,0.93,16,1,5-2,W3,O1
20,LAA,Anderson (L),4,2-1,1.47,0.98,2-1,18.00,1.47,0.98,12,2,3-0,L1,U1
21,CIN,,0,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,1-3,L3,U2
22,HOU,Verlander (R),999,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,2-4,L3,U3
23,WAS,Gore (L),5,2-0,2.81,1.19,2-0,16.00,2.81,1.19,23,1,1-1,W1,U2
24,TEX,Heaney (L),5,0-2,6.75,1.58,0-2,12.00,6.75,1.58,10,1,2-0,W2,O2
25,ATL,Sale (L),5,1-1,4.58,1.13,1-1,17.00,4.58,1.13,20,2,3-1,W4,U3
26,SEA,Hancock (R),5,1-2,7.98,1.43,1-2,14.00,7.98,1.43,11,4,1-1,W3,U2
27,COL,Hudson (R),5,0-3,4.15,1.27,0-3,17.00,4.15,1.27,11,1,1-2,L5,O1
28,TOR,Rodriguez (R),5,0-0,2.45,1.64,0-0,3.00,2.45,1.64,6,1,1-3,L1,O2
29,SD,Waldron (R),5,0-1,3.14,1.47,0-1,14.00,3.14,1.47,16,1,1-4,L1,U1
