,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,outcome_name
0,Peralta (R),5,2-0,1.90,0.76,1-0,17.00,2.04,0.91,25,1,6-1,L2,U3,Milwaukee Brewers
1,Keller (R),4,2-2,4.80,1.47,2-1,19.00,3.79,1.32,17,2,2-4,W2,U4,Pittsburgh Pirates
2,Wheeler (R),4,1-3,2.30,0.89,1-2,19.00,3.26,0.93,23,2,2-1,L1,U2,Philadelphia Phillies
3,Martinez (R),4,0-0,4.76,1.24,0-0,10.00,7.20,1.60,9,1,4-2,W1,U3,Cincinnati Reds
4,Vasquez (R),4,0-1,1.80,1.20,0-1,5.00,1.80,1.20,3,1,1-3,L1,O1,
5,Hudson (R),4,0-4,5.06,1.59,0-3,16.00,6.75,1.75,10,2,2-2,W1,O1,Colorado Rockies
6,Yamamoto (R),5,1-1,4.50,1.14,1-0,16.00,3.38,1.12,23,3,1-3,W2,U1,Los Angeles Dodgers
7,Gore (L),5,2-1,3.60,1.35,2-1,14.00,3.07,1.36,21,1,3-3,L1,U3,
8,Soroka (R),4,0-3,7.50,1.79,0-2,13.00,9.69,2.08,10,3,0-2,L5,O1,Chicago White Sox
9,Ober (R),4,1-1,4.91,1.15,1-0,17.00,1.06,0.65,16,0,2-3,W2,O1,Minnesota Twins
10,Berrios (R),4,4-0,0.85,1.01,3-0,19.00,0.00,0.81,19,0,1-2,L1,U2,Toronto Blue Jays
11,Ragans (L),4,0-2,4.32,1.48,0-1,12.00,7.11,2.05,17,0,3-3,W1,U3,
12,Bello (R),5,3-1,3.04,1.05,2-1,16.00,1.62,1.02,18,1,5-0,L1,U3,Boston Red Sox
13,McKenzie (R),5,2-2,5.00,1.61,2-1,14.00,3.68,1.57,9,2,2-1,W5,U1,Cleveland Guardians
14,Castillo (R),4,1-4,4.40,1.36,1-2,18.00,3.00,1.11,24,1,0-2,W2,U1,Seattle Mariners
15,Heaney (L),5,0-2,6.35,1.41,0-1,12.00,8.03,1.62,8,3,0-2,L1,U1,Texas Rangers
16,Wood (L),4,0-2,7.89,2.03,0-1,13.00,6.75,2.10,10,3,1-4,L1,U2,Oakland Athletics
17,Cortes Jr. (L),4,1-1,3.41,1.07,1-0,19.00,1.89,0.74,21,2,5-1,W1,U2,New York Yankees
18,Verlander (R),5,1-0,3.00,0.67,1-0,6.00,3.00,0.67,4,1,0-3,L3,U3,Houston Astros
19,Assad (R),4,2-0,2.11,1.03,1-0,15.00,2.93,1.11,16,2,4-3,W1,U1,Chicago Cubs
