,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,outcome_name
0,Corbin (L),4,0-3,6.51,1.81,0-2,17.00,6.23,1.73,10,1,4-4,W2,O1,
1,Weathers (L),5,2-2,3.16,1.40,2-1,16.00,2.70,1.26,12,2,1-7,L5,O1,Miami Marlins
2,Lynn (R),5,1-0,2.81,1.36,1-0,17.00,2.12,1.24,14,1,1-5,W3,O1,St. Louis Cardinals
3,Quintana (L),5,1-2,4.21,1.60,1-1,15.00,5.28,1.57,12,1,3-6,L2,O1,New York Mets
4,Jones (R),5,2-2,2.79,0.83,1-1,17.00,2.08,0.75,22,3,6-2,W1,U2,Pittsburgh Pirates
5,Winn (R),5,2-3,3.54,1.04,2-1,17.00,2.12,1.06,16,2,4-2,L1,U2,San Francisco Giants
6,Walker (R),38,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,3-1,W3,U1,Philadelphia Phillies
7,King (R),4,2-2,4.11,1.43,0-2,16.00,4.96,1.41,19,5,5-1,L3,U1,San Diego Padres
8,Blackburn (R),4,2-1,2.03,0.97,1-1,18.00,3.50,1.28,16,1,4-3,L1,U3,Oakland Athletics
9,Suarez (R),5,1-0,0.00,0.79,1-0,11.00,0.00,0.79,9,0,6-2,W1,U2,Baltimore Orioles
10,Wacha (R),4,1-2,3.81,1.27,0-2,16.00,4.96,1.78,12,1,3-3,L1,O1,Kansas City Royals
11,Skubal (L),5,3-0,1.82,0.74,2-0,17.00,1.04,0.75,20,0,3-7,W1,O1,Detroit Tigers
12,Littell (R),5,1-1,3.33,1.37,0-1,16.00,5.06,1.62,18,3,3-2,L2,O3,Tampa Bay Rays
13,Fedde (R),4,1-0,2.73,1.14,1-0,16.00,2.70,0.96,19,3,1-7,W2,O5,Chicago White Sox
14,Lopez (R),4,1-2,4.39,1.05,0-1,14.00,5.79,1.21,20,3,5-4,W6,O1,Minnesota Twins
15,Detmers (L),5,3-1,2.12,1.04,1-1,18.00,2.41,1.18,15,2,0-3,L3,O1,Los Angeles Angels
16,Lively (R),4,0-1,2.38,0.79,0-1,11.00,2.38,0.79,14,2,6-1,W1,U2,Cleveland Guardians
17,Elder (R),5,1-0,0.00,1.20,1-0,6.00,0.00,1.20,4,0,1-1,L1,U5,Atlanta Braves
18,Grove (R),4,0-0,6.00,1.33,0-0,0.00,0.00,0.00,0,0,1-0,W6,U1,Los Angeles Dodgers
19,Gausman (R),4,0-3,5.57,1.57,0-2,15.00,4.11,1.63,12,0,2-3,L5,U1,Toronto Blue Jays
20,Stroman (R),4,2-1,2.93,1.23,1-1,15.00,5.17,1.53,18,4,4-1,W1,O2,New York Yankees
21,Myers (R),4,0-1,1.80,1.00,0-1,5.00,1.80,1.00,4,1,3-1,L1,O3,Milwaukee Brewers
22,Abbott (L),4,1-2,2.60,1.12,1-1,17.00,2.08,0.98,12,2,4-1,W1,O1,Cincinnati Reds
23,Dunning (R),4,2-2,4.61,1.28,1-1,14.00,5.02,1.47,15,4,0-4,L1,O1,Texas Rangers
24,Valdez (L),25,0-0,2.19,1.38,0-0,12.00,2.19,1.38,10,0,0-0,W1,U6,Houston Astros
25,Gomber (L),5,0-1,4.32,1.48,0-1,16.00,3.31,1.29,10,2,0-0,L1,U1,Colorado Rockies
26,Pfaadt (R),5,1-1,4.97,1.17,0-1,18.00,4.91,1.09,14,3,2-3,L3,U3,Arizona Diamondbacks
27,Gilbert (R),4,2-0,1.87,0.80,2-0,21.00,0.86,0.76,20,1,1-3,W3,U5,Seattle Mariners
28,Wesneski (R),2,2-0,0.00,0.16,0-0,0.00,0.00,0.00,0,0,4-5,L1,O2,Chicago Cubs
29,Houck (R),4,3-2,1.65,0.98,1-2,20.00,2.61,1.11,15,1,1-5,W1,O3,Boston Red Sox
