,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,Unnamed: 0,ELO,outcome_name
0,Rogers (L),5,0-3,4.10,1.52,0-2,16.00,3.31,1.29,15,1,1-6,L6,O2,2,1497.0,Miami Marlins
1,Taillon (R),4,2-0,1.69,1.12,2-0,10.00,1.69,1.12,8,1,4-6,L2,O3,23,1520.0,Chicago Cubs
2,Severino (R),5,2-2,2.67,1.26,2-1,17.00,2.12,1.06,13,1,3-2,W1,U1,16,1504.0,New York Mets
3,Paxton (L),5,2-0,2.61,1.55,1-0,15.00,3.45,1.47,6,2,4-0,L1,U2,20,1494.0,Los Angeles Dodgers
4,Lodolo (L),4,2-0,2.12,1.06,2-0,17.00,2.12,1.06,20,0,2-4,L1,U1,27,1479.0,Cincinnati Reds
5,Schmidt (R),4,2-0,3.55,1.46,2-0,15.00,2.87,1.34,20,2,5-2,W2,O3,4,1476.0,New York Yankees
6,Rodriguez (R),5,3-1,4.45,1.41,1-1,16.00,6.19,1.69,18,1,3-3,L1,O1,0,1505.0,Baltimore Orioles
7,Rodriguez (R),4,0-1,3.86,1.54,0-1,11.00,3.86,1.54,15,2,4-2,W1,U2,6,1507.0,Toronto Blue Jays
8,Ryan (R),4,1-1,3.45,1.01,1-0,17.00,3.63,1.15,26,3,2-3,W7,O2,18,1482.0,Minnesota Twins
9,Crochet (L),4,1-4,6.37,1.18,0-3,11.00,13.11,1.97,19,4,3-2,W3,U1,14,1481.0,Chicago White Sox
10,Wilson (R),4,2-0,3.50,1.00,0-0,8.00,2.25,1.12,5,1,2-4,L2,O4,17,1514.0,Milwaukee Brewers
11,Sanchez (L),5,1-3,2.96,1.48,1-2,15.00,1.80,1.40,19,0,5-3,W4,O1,12,1495.0,Philadelphia Phillies
12,Canning (R),5,1-3,7.50,1.54,1-2,14.00,6.91,1.47,14,1,3-5,L4,O2,1,1516.0,Los Angeles Angels
13,Fried (L),5,2-0,4.97,1.38,2-0,20.00,1.77,0.93,12,1,3-1,W1,U6,13,1515.0,Atlanta Braves
14,Miller (R),4,3-2,2.22,0.99,2-1,16.00,1.65,0.98,16,3,8-3,L1,U6,19,1501.0,Seattle Mariners
15,Falter (L),5,2-1,3.33,0.89,2-1,17.00,2.12,0.82,15,2,3-5,L1,U3,26,1472.0,Pittsburgh Pirates
16,Boyle (R),4,1-4,7.06,1.80,0-3,14.00,6.43,1.57,14,2,1-6,W1,O1,9,1523.0,Oakland Athletics
