Team,ELO
BAL,1621.1133380364545
NYY,1437.5374706899108
TOR,1604.2383776111394
OAK,1467.8917460633832
BOS,1504.1369304479717
TBR,1405.9611722148873
MIN,1466.9130527768912
CHW,1580.0126517379015
LAA,1456.576538488751
CLE,1499.373997144859
COL,1539.2813208234616
DET,1680.4251862860613
SFG,1543.8641880418827
TEX,1523.2489894672783
HOU,1396.2040466994863
SEA,1540.6822120234438
SDP,1519.6324929777545
WSN,1374.3942382987316
ARI,1459.1804007385504
KCR,1595.8679904488588
LAD,1402.0613335046078
PHI,1552.1627483067823
CHC,1481.3899941455152
MIA,1587.9193859275078
NYM,1449.8527195318575
ATL,1389.925764751672
CIN,1558.5236805936174
PIT,1531.9976765858569
MIL,1427.2976684089722
STL,1402.3326872259515
