,Team,ELO
0,BAL,1583.543584839224
1,LAA,1677.4099144120069
2,MIA,1471.3887795145808
3,BOS,1136.8519786852269
4,TBR,1489.0091982123963
5,CIN,1283.625347752397
6,MIN,1297.0277694208037
7,NYY,1268.4877524051803
8,HOU,1739.6380172915651
9,TOR,1681.5822416678516
10,TEX,1450.261466011078
11,KCR,1583.4096764802266
12,ATL,1674.1893480191752
13,WSN,1489.9530200840466
14,CHC,1677.625591196223
15,COL,1168.0892703782363
16,CLE,1602.1440867536212
17,OAK,1716.6258487217258
18,DET,1498.6573862971477
19,STL,1623.1673315851403
20,SEA,1494.1278312100694
21,SDP,1363.0655855986822
22,LAD,1615.491545963826
23,PHI,1551.0128932902192
24,CHW,1139.1782205470229
25,ARI,1600.641473894301
26,NYM,1523.0651739667423
27,MIL,1675.7060454801247
28,PIT,1291.5354632541364
29,SFG,1633.4881570670223
