id,commence_time,home_team,away_team,outcome_name,odds,imp_probability,true_probability
06e1d7be0ae5e26c3780cfbf505aa025,2024-04-30 23:10:00+00:00,New York Mets,Chicago Cubs,Chicago Cubs,110.0, 0.48%, 0.45%
06e1d7be0ae5e26c3780cfbf505aa025,2024-04-30 23:10:00+00:00,New York Mets,Chicago Cubs,New York Mets,-135.0, 0.57%, 0.55%
22189c41f4236371d7710e295986ae80,2024-04-30 22:35:00+00:00,Baltimore Orioles,New York Yankees,Baltimore Orioles,100.0, 0.50%, 0.48%
22189c41f4236371d7710e295986ae80,2024-04-30 22:35:00+00:00,Baltimore Orioles,New York Yankees,New York Yankees,-120.0, 0.55%, 0.52%
444f009e102a9b39db8d44147109f370,2024-04-30 23:40:00+00:00,Chicago White Sox,Minnesota Twins,Chicago White Sox,140.0, 0.42%, 0.40%
444f009e102a9b39db8d44147109f370,2024-04-30 23:40:00+00:00,Chicago White Sox,Minnesota Twins,Minnesota Twins,-170.0, 0.63%, 0.60%
6143aaa999112d26321d962aae4978b4,2024-04-30 23:07:00+00:00,Toronto Blue Jays,Kansas City Royals,Kansas City Royals,115.0, 0.47%, 0.45%
6143aaa999112d26321d962aae4978b4,2024-04-30 23:07:00+00:00,Toronto Blue Jays,Kansas City Royals,Toronto Blue Jays,-135.0, 0.57%, 0.55%
6597a4a050842bf997c6a37eb11ca1cc,2024-05-01 01:40:00+00:00,Oakland Athletics,Pittsburgh Pirates,Oakland Athletics,115.0, 0.47%, 0.45%
6597a4a050842bf997c6a37eb11ca1cc,2024-05-01 01:40:00+00:00,Oakland Athletics,Pittsburgh Pirates,Pittsburgh Pirates,-135.0, 0.57%, 0.55%
6e7cd4dec18df8b0cf53bfe60bb73de8,2024-04-30 22:40:00+00:00,Miami Marlins,Colorado Rockies,Colorado Rockies,120.0, 0.45%, 0.43%
6e7cd4dec18df8b0cf53bfe60bb73de8,2024-04-30 22:40:00+00:00,Miami Marlins,Colorado Rockies,Miami Marlins,-145.0, 0.59%, 0.57%
a9533d57587d7f36d35f93840e7cfcf0,2024-04-30 23:10:00+00:00,Boston Red Sox,San Francisco Giants,Boston Red Sox,110.0, 0.48%, 0.45%
a9533d57587d7f36d35f93840e7cfcf0,2024-04-30 23:10:00+00:00,Boston Red Sox,San Francisco Giants,San Francisco Giants,-135.0, 0.57%, 0.55%
b641bc31aab2a4d6f96bf92b19fc209c,2024-05-01 01:40:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,-105.0, 0.51%, 0.49%
b641bc31aab2a4d6f96bf92b19fc209c,2024-05-01 01:40:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers,-115.0, 0.53%, 0.51%
bc09825bb8e6f0f82458540ad554cc7a,2024-05-01 00:10:00+00:00,Houston Astros,Cleveland Guardians,Cleveland Guardians,125.0, 0.44%, 0.43%
bc09825bb8e6f0f82458540ad554cc7a,2024-05-01 00:10:00+00:00,Houston Astros,Cleveland Guardians,Houston Astros,-150.0, 0.60%, 0.57%
d3794c14089d8a6076ab67c7e80a20d8,2024-05-01 01:38:00+00:00,Los Angeles Angels,Philadelphia Phillies,Los Angeles Angels,115.0, 0.47%, 0.45%
d3794c14089d8a6076ab67c7e80a20d8,2024-05-01 01:38:00+00:00,Los Angeles Angels,Philadelphia Phillies,Philadelphia Phillies,-135.0, 0.57%, 0.55%
fab036c92c37503f5fc82226a7d6a5a6,2024-05-01 01:40:00+00:00,Seattle Mariners,Atlanta Braves,Atlanta Braves,-135.0, 0.57%, 0.55%
fab036c92c37503f5fc82226a7d6a5a6,2024-05-01 01:40:00+00:00,Seattle Mariners,Atlanta Braves,Seattle Mariners,110.0, 0.48%, 0.45%
