outcome_name,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,id,commence_time,home_team,away_team,odds,imp_probability,true_probability
Chicago Cubs,Assad (R),4,2-0,2.00,1.00,1-0,16.00,2.25,1.00,14,1,5-6,W1,U1,06e1d7be0ae5e26c3780cfbf505aa025,2024-04-30 23:10:00+00:00,New York Mets,Chicago Cubs,110.0, 0.48%, 0.45%
New York Mets,Manaea (L),5,1-1,3.33,1.44,0-1,13.00,5.40,2.02,13,1,3-3,L1,U2,06e1d7be0ae5e26c3780cfbf505aa025,2024-04-30 23:10:00+00:00,New York Mets,Chicago Cubs,-135.0, 0.57%, 0.55%
Los Angeles Dodgers,Knack (R),5,1-1,3.27,1.00,1-1,11.00,3.27,1.00,9,2,4-1,L1,U2,8307afe26210b8f7398d9a94e767904a,2024-04-30 01:39:59+00:00,Arizona Diamondbacks,Los Angeles Dodgers,-170.0, 0.63%, 0.60%
Los Angeles Dodgers,Knack (R),5,1-1,3.27,1.00,1-1,11.00,3.27,1.00,9,2,4-1,L1,U2,b641bc31aab2a4d6f96bf92b19fc209c,2024-05-01 01:40:00+00:00,Arizona Diamondbacks,Los Angeles Dodgers,-115.0, 0.53%, 0.51%
Cincinnati Reds,Martinez (R),4,0-1,5.48,1.39,0-1,16.00,7.31,1.69,12,2,2-4,L1,U1,4f6a1311997482f3e7ab21eb4ad3d1fe,2024-04-30 01:40:00+00:00,San Diego Padres,Cincinnati Reds,-250.0, 0.71%, 0.67%
New York Yankees,Cortes Jr. (L),4,1-2,3.50,1.00,0-1,18.00,3.50,0.94,19,4,5-3,L1,U1,22189c41f4236371d7710e295986ae80,2024-04-30 22:35:00+00:00,Baltimore Orioles,New York Yankees,-120.0, 0.55%, 0.52%
Baltimore Orioles,Kremer (R),5,1-2,4.61,1.06,1-2,15.00,6.60,1.33,16,4,4-3,W1,U1,22189c41f4236371d7710e295986ae80,2024-04-30 22:35:00+00:00,Baltimore Orioles,New York Yankees,100.0, 0.50%, 0.48%
Toronto Blue Jays,Berrios (R),4,4-1,1.23,1.04,2-1,18.00,1.00,0.94,14,1,5-2,W1,U2,6143aaa999112d26321d962aae4978b4,2024-04-30 23:07:00+00:00,Toronto Blue Jays,Kansas City Royals,-135.0, 0.57%, 0.55%
Minnesota Twins,Woods-Richardson (R),4,1-0,2.45,1.00,1-0,11.00,2.45,1.00,11,0,3-3,W7,O2,444f009e102a9b39db8d44147109f370,2024-04-30 23:40:00+00:00,Chicago White Sox,Minnesota Twins,-170.0, 0.63%, 0.60%
Minnesota Twins,Woods-Richardson (R),4,1-0,2.45,1.00,1-0,11.00,2.45,1.00,11,0,3-3,W7,O2,5e5871f137cdb33bf0798bbc1f67d5bc,2024-04-29 23:40:00+00:00,Chicago White Sox,Minnesota Twins,-2500.0, 0.96%, 0.91%
Chicago White Sox,Soroka (R),4,0-3,6.83,1.69,0-2,14.00,7.53,1.81,7,4,3-3,W3,U1,444f009e102a9b39db8d44147109f370,2024-04-30 23:40:00+00:00,Chicago White Sox,Minnesota Twins,140.0, 0.42%, 0.40%
Chicago White Sox,Soroka (R),4,0-3,6.83,1.69,0-2,14.00,7.53,1.81,7,4,3-3,W3,U1,5e5871f137cdb33bf0798bbc1f67d5bc,2024-04-29 23:40:00+00:00,Chicago White Sox,Minnesota Twins,900.0, 0.10%, 0.09%
Cleveland Guardians,Carrasco (R),5,1-2,4.63,1.63,1-2,15.00,4.70,1.76,11,3,5-3,L1,U3,bc09825bb8e6f0f82458540ad554cc7a,2024-05-01 00:10:00+00:00,Houston Astros,Cleveland Guardians,125.0, 0.44%, 0.43%
Houston Astros,Brown (R),8,0-4,9.68,2.49,0-3,10.00,11.81,2.44,9,2,2-6,W2,U7,bc09825bb8e6f0f82458540ad554cc7a,2024-05-01 00:10:00+00:00,Houston Astros,Cleveland Guardians,-150.0, 0.60%, 0.57%
Boston Red Sox,Criswell (R),5,1-1,2.38,1.15,1-0,9.00,2.00,1.00,7,1,2-5,W2,O4,a9533d57587d7f36d35f93840e7cfcf0,2024-04-30 23:10:00+00:00,Boston Red Sox,San Francisco Giants,110.0, 0.48%, 0.45%
Philadelphia Phillies,Turnbull (R),5,2-0,1.33,0.85,1-0,16.00,2.25,1.06,17,2,6-3,W4,O1,57d42400ea5a362a2e96758bae65ae13,2024-04-30 01:38:00+00:00,Los Angeles Angels,Philadelphia Phillies,-175.0, 0.64%, 0.61%
Philadelphia Phillies,Turnbull (R),5,2-0,1.33,0.85,1-0,16.00,2.25,1.06,17,2,6-3,W4,O1,d3794c14089d8a6076ab67c7e80a20d8,2024-05-01 01:38:00+00:00,Los Angeles Angels,Philadelphia Phillies,-135.0, 0.57%, 0.55%
Los Angeles Angels,Anderson (L),5,2-3,1.78,1.05,0-3,16.00,3.31,1.29,13,4,3-6,L4,O2,57d42400ea5a362a2e96758bae65ae13,2024-04-30 01:38:00+00:00,Los Angeles Angels,Philadelphia Phillies,145.0, 0.41%, 0.39%
Los Angeles Angels,Anderson (L),5,2-3,1.78,1.05,0-3,16.00,3.31,1.29,13,4,3-6,L4,O2,d3794c14089d8a6076ab67c7e80a20d8,2024-05-01 01:38:00+00:00,Los Angeles Angels,Philadelphia Phillies,115.0, 0.47%, 0.45%
Atlanta Braves,Lopez (R),5,2-0,0.72,0.88,2-0,19.00,0.47,0.84,19,1,3-1,W1,U6,a927c93ad18150e8e2ac071a11810087,2024-04-30 01:40:00+00:00,Seattle Mariners,Atlanta Braves,-125.0, 0.56%, 0.53%
Atlanta Braves,Lopez (R),5,2-0,0.72,0.88,2-0,19.00,0.47,0.84,19,1,3-1,W1,U6,fab036c92c37503f5fc82226a7d6a5a6,2024-05-01 01:40:00+00:00,Seattle Mariners,Atlanta Braves,-135.0, 0.57%, 0.55%
Seattle Mariners,Castillo (R),4,2-4,4.15,1.30,2-1,19.00,1.89,0.84,24,3,8-3,L1,U6,a927c93ad18150e8e2ac071a11810087,2024-04-30 01:40:00+00:00,Seattle Mariners,Atlanta Braves,105.0, 0.49%, 0.47%
Seattle Mariners,Castillo (R),4,2-4,4.15,1.30,2-1,19.00,1.89,0.84,24,3,8-3,L1,U6,fab036c92c37503f5fc82226a7d6a5a6,2024-05-01 01:40:00+00:00,Seattle Mariners,Atlanta Braves,110.0, 0.48%, 0.45%
Pittsburgh Pirates,Keller (R),4,2-2,5.14,1.49,1-1,18.00,5.00,1.39,15,3,3-5,L1,U3,438c3e92abced075ef6d39296f95c1e4,2024-04-30 01:40:00+00:00,Oakland Athletics,Pittsburgh Pirates,100.0, 0.50%, 0.48%
Pittsburgh Pirates,Keller (R),4,2-2,5.14,1.49,1-1,18.00,5.00,1.39,15,3,3-5,L1,U3,6597a4a050842bf997c6a37eb11ca1cc,2024-05-01 01:40:00+00:00,Oakland Athletics,Pittsburgh Pirates,-135.0, 0.57%, 0.55%
Oakland Athletics,Wood (L),4,1-2,6.59,1.98,1-1,15.00,5.40,2.00,13,3,1-6,W1,O1,438c3e92abced075ef6d39296f95c1e4,2024-04-30 01:40:00+00:00,Oakland Athletics,Pittsburgh Pirates,-120.0, 0.55%, 0.52%
Oakland Athletics,Wood (L),4,1-2,6.59,1.98,1-1,15.00,5.40,2.00,13,3,1-6,W1,O1,6597a4a050842bf997c6a37eb11ca1cc,2024-05-01 01:40:00+00:00,Oakland Athletics,Pittsburgh Pirates,115.0, 0.47%, 0.45%
