id,outcome_name,commence_time,odds,Streak WL,Streak O/U,true_probability,ELO,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,home_team,away_team
6e7cd4dec18df8b0cf53bfe60bb73de8,Miami Marlins,2024-04-30 22:40:00+00:00,-145.0,L6,O2, 0.57%,1497.0,Rogers (L),5,0-3,4.10,1.52,0-2,16.00,3.31,1.29,15,1,1-6,Miami Marlins,Colorado Rockies
06e1d7be0ae5e26c3780cfbf505aa025,Chicago Cubs,2024-04-30 23:10:00+00:00,110.0,L2,O3, 0.45%,1520.0,Taillon (R),4,2-0,1.69,1.12,2-0,10.00,1.69,1.12,8,1,4-6,New York Mets,Chicago Cubs
06e1d7be0ae5e26c3780cfbf505aa025,New York Mets,2024-04-30 23:10:00+00:00,-135.0,W1,U1, 0.55%,1504.0,Severino (R),5,2-2,2.67,1.26,2-1,17.00,2.12,1.06,13,1,3-2,New York Mets,Chicago Cubs
b641bc31aab2a4d6f96bf92b19fc209c,Los Angeles Dodgers,2024-05-01 01:40:00+00:00,-115.0,L1,U2, 0.51%,1494.0,Paxton (L),5,2-0,2.61,1.55,1-0,15.00,3.45,1.47,6,2,4-0,Arizona Diamondbacks,Los Angeles Dodgers
22189c41f4236371d7710e295986ae80,New York Yankees,2024-04-30 22:35:00+00:00,-120.0,W2,O3, 0.52%,1476.0,Schmidt (R),4,2-0,3.55,1.46,2-0,15.00,2.87,1.34,20,2,5-2,Baltimore Orioles,New York Yankees
22189c41f4236371d7710e295986ae80,Baltimore Orioles,2024-04-30 22:35:00+00:00,100.0,L1,O1, 0.48%,1505.0,Rodriguez (R),5,3-1,4.45,1.41,1-1,16.00,6.19,1.69,18,1,3-3,Baltimore Orioles,New York Yankees
6143aaa999112d26321d962aae4978b4,Toronto Blue Jays,2024-04-30 23:07:00+00:00,-135.0,W1,U2, 0.55%,1507.0,Rodriguez (R),4,0-1,3.86,1.54,0-1,11.00,3.86,1.54,15,2,4-2,Toronto Blue Jays,Kansas City Royals
444f009e102a9b39db8d44147109f370,Minnesota Twins,2024-04-30 23:40:00+00:00,-170.0,W7,O2, 0.60%,1482.0,Ryan (R),4,1-1,3.45,1.01,1-0,17.00,3.63,1.15,26,3,2-3,Chicago White Sox,Minnesota Twins
444f009e102a9b39db8d44147109f370,Chicago White Sox,2024-04-30 23:40:00+00:00,140.0,W3,U1, 0.40%,1481.0,Crochet (L),4,1-4,6.37,1.18,0-3,11.00,13.11,1.97,19,4,3-2,Chicago White Sox,Minnesota Twins
d3794c14089d8a6076ab67c7e80a20d8,Philadelphia Phillies,2024-05-01 01:38:00+00:00,-135.0,W4,O1, 0.55%,1495.0,Sanchez (L),5,1-3,2.96,1.48,1-2,15.00,1.80,1.40,19,0,5-3,Los Angeles Angels,Philadelphia Phillies
d3794c14089d8a6076ab67c7e80a20d8,Los Angeles Angels,2024-05-01 01:38:00+00:00,115.0,L4,O2, 0.45%,1516.0,Canning (R),5,1-3,7.50,1.54,1-2,14.00,6.91,1.47,14,1,3-5,Los Angeles Angels,Philadelphia Phillies
fab036c92c37503f5fc82226a7d6a5a6,Atlanta Braves,2024-05-01 01:40:00+00:00,-135.0,W1,U6, 0.55%,1515.0,Fried (L),5,2-0,4.97,1.38,2-0,20.00,1.77,0.93,12,1,3-1,Seattle Mariners,Atlanta Braves
fab036c92c37503f5fc82226a7d6a5a6,Seattle Mariners,2024-05-01 01:40:00+00:00,110.0,L1,U6, 0.45%,1501.0,Miller (R),4,3-2,2.22,0.99,2-1,16.00,1.65,0.98,16,3,8-3,Seattle Mariners,Atlanta Braves
6597a4a050842bf997c6a37eb11ca1cc,Pittsburgh Pirates,2024-05-01 01:40:00+00:00,-135.0,L1,U3, 0.55%,1472.0,Falter (L),5,2-1,3.33,0.89,2-1,17.00,2.12,0.82,15,2,3-5,Oakland Athletics,Pittsburgh Pirates
6597a4a050842bf997c6a37eb11ca1cc,Oakland Athletics,2024-05-01 01:40:00+00:00,115.0,W1,O1, 0.45%,1523.0,Boyle (R),4,1-4,7.06,1.80,0-3,14.00,6.43,1.57,14,2,1-6,Oakland Athletics,Pittsburgh Pirates
