,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,outcome_name
0,Ross (R),6,1-1,4.91,1.64,1-1,14.00,4.91,1.64,14,0,4-1,W4,U1,Milwaukee Brewers
1,Jones (R),5,1-2,3.13,0.78,0-2,17.00,2.60,0.75,22,4,1-1,L6,U2,Pittsburgh Pirates
2,Suarez (L),5,3-0,1.73,0.77,3-0,21.00,0.86,0.76,20,1,2-1,W6,O2,Philadelphia Phillies
3,Greene (R),5,0-1,4.35,1.31,0-1,16.00,4.50,1.12,23,2,3-3,W3,U1,Cincinnati Reds
4,Weathers (L),5,2-1,2.70,1.35,2-0,16.00,1.69,1.12,17,2,1-3,W1,O1,Miami Marlins
5,Elder (R),39,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,5-2,L1,O1,Atlanta Braves
6,Pfaadt (R),4,1-1,5.32,1.23,0-1,18.00,6.27,1.29,17,4,2-4,W1,O3,Arizona Diamondbacks
7,Lynn (R),5,1-0,2.18,1.21,1-0,16.00,2.70,1.20,14,4,1-2,L4,U1,St. Louis Cardinals
8,Cease (R),5,2-1,1.99,0.93,2-0,18.00,1.50,0.94,21,1,4-1,W1,O1,San Diego Padres
9,Gomber (L),5,0-1,4.95,1.50,0-1,15.00,4.11,1.37,15,2,1-4,L1,O1,Colorado Rockies
10,Quintana (L),5,1-1,3.05,1.50,1-0,16.00,2.81,1.44,12,1,3-1,L1,O4,New York Mets
11,Winn (R),4,1-3,4.09,1.09,1-2,17.00,3.71,1.12,11,2,1-4,L1,O3,San Francisco Giants
12,Sears (L),5,1-1,4.35,1.16,1-0,17.00,2.65,0.94,8,2,3-2,L3,O4,Oakland Athletics
13,Rodon (L),5,1-1,3.66,1.68,1-1,15.00,4.11,1.63,14,2,2-2,W1,O1,New York Yankees
14,Skubal (L),4,2-0,2.28,0.80,1-0,17.00,3.06,0.91,20,2,0-0,W1,U1,Detroit Tigers
15,Littell (R),4,1-0,2.14,1.33,0-0,15.00,3.00,1.47,16,1,4-3,L1,O1,Tampa Bay Rays
16,Kikuchi (L),5,1-1,2.08,1.15,1-0,17.00,1.04,0.92,25,0,3-3,L1,O1,Toronto Blue Jays
17,Singer (R),4,2-0,1.54,0.86,1-0,16.00,2.20,0.98,13,3,6-1,L2,U1,Kansas City Royals
18,Cannon (R),4,0-0,1.80,0.80,0-0,5.00,1.80,0.80,3,0,1-7,L3,O2,Chicago White Sox
19,Paddack (R),5,0-1,8.36,2.07,0-1,14.00,8.36,2.07,9,4,0-3,L1,U1,Minnesota Twins
20,Suarez (R),4,0-0,0.00,0.53,0-0,5.00,0.00,0.53,4,0,3-1,W2,U1,Baltimore Orioles
21,Detmers (L),4,3-0,1.19,0.97,2-0,17.00,1.02,0.96,23,0,2-2,L4,U1,Los Angeles Angels
