,id,commence_time,home_team,away_team,home_score,away_score
0,a46cb6c2551f5f7dc4b0088d08b0ef5a,2024-04-21T00:10:00Z,Colorado Rockies,Seattle Mariners,0,7
1,c06d629bc0838e8b6c2b46d02883375d,2024-04-21T00:40:00Z,San Diego Padres,Toronto Blue Jays,2,5
2,005e11b769d614def43922c7da63a102,2024-04-21T17:34:48Z,Washington Nationals,Houston Astros,6,0
3,1e62aec8bb5950c691bfab4824dc7115,2024-04-21T17:35:00Z,Pittsburgh Pirates,Boston Red Sox,1,6
4,d7ba265f218120f15eb75626bd87cc9a,2024-04-21T17:35:00Z,Philadelphia Phillies,Chicago White Sox,8,2
5,d3a3ad9bfa0d2633352a30113b350a5d,2024-04-21T17:35:00Z,New York Yankees,Tampa Bay Rays,5,4
6,82a1e5569fe474eba3edbcda111add27,2024-04-21T17:40:00Z,Cincinnati Reds,Los Angeles Angels,3,0
7,016626e0b6b6a9eab86a394485545b66,2024-04-21T17:40:00Z,Cleveland Guardians,Oakland Athletics,6,2
8,b89d113e6af3638c682d36d708c824cb,2024-04-21T18:10:00Z,Kansas City Royals,Baltimore Orioles,0,5
9,2855d275ac823f2d811ce0ab3da5e8b7,2024-04-21T18:10:00Z,Minnesota Twins,Detroit Tigers,1,6
10,a8970bdd40cb42e9c3a0a828a8e32dd4,2024-04-21T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,0,2
11,cb12d3fff35442a57b31e5f56d7448ad,2024-04-21T18:20:00Z,Chicago Cubs,Miami Marlins,3,6
12,45a810f68872da847d6b3becad32aa3f,2024-04-21T19:10:00Z,Colorado Rockies,Seattle Mariners,2,1
13,21b6ed063f694db4e7cdecc8f7ad806d,2024-04-21T20:05:55Z,San Francisco Giants,Arizona Diamondbacks,3,5
14,38fd2f47517ea3e9ba12544a5a8eabb6,2024-04-21T20:10:00Z,Los Angeles Dodgers,New York Mets,10,0
15,00a4851de5882e01389107b7318fb307,2024-04-21T20:10:00Z,San Diego Padres,Toronto Blue Jays,6,3
16,46bad84e66e5c51d6b5d8e4b54a07fc7,2024-04-21T23:10:00Z,Atlanta Braves,Texas Rangers,4,6
17,ccbf2c9c4a3bd010e78958e6aacb76f6,2024-04-22T00:10:00Z,Colorado Rockies,Seattle Mariners,2,10
18,d6f47a21c9a0980edc331f403821b96a,2024-04-22T17:05:00Z,New York Yankees,Oakland Athletics,0,2
