Team,ELO
TBR,1441.4651406051225
BAL,1476.406274197467
MIN,1606.8377413147712
BOS,1391.7852801539689
NYY,1502.3406826304054
LAD,1434.777897784169
TOR,1487.453985730702
OAK,1431.2788118935325
SEA,1552.3810562208298
LAA,1500.024871814172
KCR,1495.9092459033527
SDP,1551.4266665975872
WSN,1454.472972926129
DET,1441.3698253817277
HOU,1616.6459578731155
CLE,1420.7871860534365
CHW,1557.385068109318
TEX,1511.8136996893995
SFG,1496.4250169897814
ARI,1542.4545449295363
COL,1509.8192789542513
PHI,1549.496842447931
NYM,1553.7449628897043
MIA,1594.2901821345342
CHC,1559.8482521753244
ATL,1446.8141609389347
CIN,1490.1325787609985
PIT,1478.8196615082866
MIL,1540.119436668624
STL,1363.47271672289
