,Team,ELO
0,OAK,1723.4690667177463
1,LAA,1758.9670756098742
2,SEA,1533.5101294243125
3,TOR,1765.0758831945193
4,WSN,1598.3073711457228
5,BOS,1339.824371911405
6,NYY,687.6336292981371
7,KCR,1360.4138485103615
8,MIL,1700.1954199185966
9,STL,1655.0836449956705
10,TEX,1455.2439891728018
11,HOU,1880.7411553861652
12,CLE,1678.1256737079227
13,BAL,1700.6548571984938
14,MIN,1270.6801586487438
15,MIA,1566.0511040400982
16,CHW,848.9297345734788
17,CHC,1669.793344843597
18,LAD,1606.8539655016684
19,COL,1022.7242713416074
20,ARI,1652.4896092370006
21,SDP,1481.2928235851307
22,PIT,1534.2917196013052
23,DET,1153.4621080291924
24,ATL,1755.9168116057197
25,SFG,1783.710210832709
26,TBR,1537.679268595565
27,CIN,1183.9348392405516
28,NYM,1479.8703421801283
29,PHI,1615.073571951779
