id,commence_time,home_team,away_team,outcome_name,odds,imp_probability,true_probability
027b268a3a8c39d655c9dfcce936035e,2024-04-25 17:10:00+00:00,Minnesota Twins,Chicago White Sox,Chicago White Sox,175, 0.36%, 0.34%
027b268a3a8c39d655c9dfcce936035e,2024-04-25 17:10:00+00:00,Minnesota Twins,Chicago White Sox,Minnesota Twins,-225, 0.69%, 0.66%
186a7db22526f42e61f4e7e04a297aef,2024-04-25 19:10:00+00:00,Colorado Rockies,San Diego Padres,Colorado Rockies,125, 0.44%, 0.43%
186a7db22526f42e61f4e7e04a297aef,2024-04-25 19:10:00+00:00,Colorado Rockies,San Diego Padres,San Diego Padres,-150, 0.60%, 0.57%
2fcc76bec0f1f2c98e13550c9c4b62bc,2024-04-25 18:35:00+00:00,Texas Rangers,Seattle Mariners,Seattle Mariners,-125, 0.56%, 0.53%
2fcc76bec0f1f2c98e13550c9c4b62bc,2024-04-25 18:35:00+00:00,Texas Rangers,Seattle Mariners,Texas Rangers,105, 0.49%, 0.47%
4eaf33b7ce9ee2d505935e660d5209fa,2024-04-25 17:10:00+00:00,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,150, 0.40%, 0.38%
4eaf33b7ce9ee2d505935e660d5209fa,2024-04-25 17:10:00+00:00,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,-180, 0.64%, 0.62%
8891fb64b5e266165952b26aac1448a7,2024-04-25 18:10:00+00:00,Kansas City Royals,Toronto Blue Jays,Kansas City Royals,-115, 0.53%, 0.51%
8891fb64b5e266165952b26aac1448a7,2024-04-25 18:10:00+00:00,Kansas City Royals,Toronto Blue Jays,Toronto Blue Jays,-105, 0.51%, 0.49%
94bb3d077181eb09ec854677194c6385,2024-04-25 16:35:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,-135, 0.57%, 0.55%
94bb3d077181eb09ec854677194c6385,2024-04-25 16:35:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,110, 0.48%, 0.45%
9949953e7b96db373915f1d572f9fdb5,2024-04-25 23:05:00+00:00,New York Yankees,Oakland Athletics,New York Yankees,-275, 0.73%, 0.69%
9949953e7b96db373915f1d572f9fdb5,2024-04-25 23:05:00+00:00,New York Yankees,Oakland Athletics,Oakland Athletics,210, 0.32%, 0.31%
a8987ea22323ff0b4008df6e62b67573,2024-04-25 18:20:00+00:00,Chicago Cubs,Houston Astros,Chicago Cubs,105, 0.49%, 0.47%
a8987ea22323ff0b4008df6e62b67573,2024-04-25 18:20:00+00:00,Chicago Cubs,Houston Astros,Houston Astros,-125, 0.56%, 0.53%
e07f81447ec2e4946484cef60bf04adf,2024-04-25 20:05:00+00:00,Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers,-200, 0.67%, 0.63%
e07f81447ec2e4946484cef60bf04adf,2024-04-25 20:05:00+00:00,Washington Nationals,Los Angeles Dodgers,Washington Nationals,160, 0.38%, 0.37%
f66aa4a068c28db4821d58247df4de1a,2024-04-25 17:10:00+00:00,Cleveland Guardians,Boston Red Sox,Boston Red Sox,115, 0.47%, 0.45%
f66aa4a068c28db4821d58247df4de1a,2024-04-25 17:10:00+00:00,Cleveland Guardians,Boston Red Sox,Cleveland Guardians,-135, 0.57%, 0.55%
