outcome_name,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,id,commence_time,home_team,away_team,odds,imp_probability,true_probability
Milwaukee Brewers,Ross (R),6,1-1,4.91,1.64,1-1,14.00,4.91,1.64,14,0,4-1,W4,U1,e67813c1e1cee34d067e4bd168615313,2024-04-22 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,120.0, 0.45%, 0.43%
Pittsburgh Pirates,Jones (R),5,1-2,3.13,0.78,0-2,17.00,2.60,0.75,22,4,1-1,L6,U2,e67813c1e1cee34d067e4bd168615313,2024-04-22 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,-145.0, 0.59%, 0.57%
Philadelphia Phillies,Suarez (L),5,3-0,1.73,0.77,3-0,21.00,0.86,0.76,20,1,2-1,W6,O2,2b8730a2d062752e6b2fc0c67138e37d,2024-04-22 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,-110.0, 0.52%, 0.50%
Cincinnati Reds,Greene (R),5,0-1,4.35,1.31,0-1,16.00,4.50,1.12,23,2,3-3,W3,U1,2b8730a2d062752e6b2fc0c67138e37d,2024-04-22 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,-110.0, 0.52%, 0.50%
Miami Marlins,Weathers (L),5,2-1,2.70,1.35,2-0,16.00,1.69,1.12,17,2,1-3,W1,O1,ac089948df92d146990c70eedd0dbaaa,2024-04-22 23:20:00+00:00,Atlanta Braves,Miami Marlins,165.0, 0.38%, 0.36%
Atlanta Braves,Elder (R),39,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,5-2,L1,O1,ac089948df92d146990c70eedd0dbaaa,2024-04-22 23:20:00+00:00,Atlanta Braves,Miami Marlins,-210.0, 0.68%, 0.64%
Arizona Diamondbacks,Pfaadt (R),4,1-1,5.32,1.23,0-1,18.00,6.27,1.29,17,4,2-4,W1,O3,e1eafb8d9e5ab04c0a6e852a3ad72c3f,2024-04-22 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,-105.0, 0.51%, 0.49%
St. Louis Cardinals,Lynn (R),5,1-0,2.18,1.21,1-0,16.00,2.70,1.20,14,4,1-2,L4,U1,e1eafb8d9e5ab04c0a6e852a3ad72c3f,2024-04-22 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,-115.0, 0.53%, 0.51%
San Diego Padres,Cease (R),5,2-1,1.99,0.93,2-0,18.00,1.50,0.94,21,1,4-1,W1,O1,cdd1a83d7c15ce5c3d79aebd65c8f3f4,2024-04-23 00:40:00+00:00,Colorado Rockies,San Diego Padres,-180.0, 0.64%, 0.62%
Colorado Rockies,Gomber (L),5,0-1,4.95,1.50,0-1,15.00,4.11,1.37,15,2,1-4,L1,O1,cdd1a83d7c15ce5c3d79aebd65c8f3f4,2024-04-23 00:40:00+00:00,Colorado Rockies,San Diego Padres,150.0, 0.40%, 0.38%
